is_anomaly,frequency_inpos,frequency_intest,EventTemplate,reason,topk_similary_log_list
1,71,71,"<*> total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.","The input log template does not match any of the known normal log templates. Additionally, the content does not contain any recognizable keywords or key elements typically found in normal logs. Therefore, it is classified as an anomaly.",['critical input interrupt enable...0']
0,16,16,"ciod: Received signal 15, code=0, errno=0, <*>","The input log template is normal. It is structurally and semantically identical to the known normal log templates. The content 'Received signal 15, code=0, errno=0' is a common log message and does not indicate any anomaly.",[]
1,12,12,ciod: Error reading message prefix on CioStream socket to <*> <*> <*> <*> <*>,"The input log template is abnormal. Although it shares a similar structure with the known normal log templates, the content 'Error reading message prefix on CioStream socket' is different from the content in the known normal log templates. This discrepancy in the error message indicates an anomaly.",['ciod: Error creating node map from file <*> <*> <*> <*>']
1,8,8,"Kernel detected <*> integer alignment exceptions <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*>","The input log template is classified as an anomaly. The structure and content do not match any of the known normal log templates. Additionally, the presence of specific memory addresses (e.g., iar 0x00544ea8) and alignment exceptions indicate a potential issue or abnormal behavior in the system.",[]
1,7,7,"<*> ddr error(s) detected and corrected on rank 0, symbol <*> over <*> seconds",The input log template does not match any of the known normal log templates. It contains specific details such as 'detected and corrected on rank 0' and 'over <*> seconds' which are not present in the normal templates. This deviation indicates an anomaly.,"['<*> ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>', 'total of <*> ddr error(s) detected and corrected']"
1,7,7,MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4),"The input log template is an anomaly. It contains a specific error message related to 'MACHINE CHECK DCR read timeout' which is not present in any of the known normal log templates. This unique error message indicates a potential issue with the machine's DCR read timeout, making it an anomaly.",[]
0,4,4,total of <*> ddr error(s) detected and corrected over <*> seconds,The input log template is normal. It is structurally and semantically identical to the Known Normal Log Templates.,"['total of <*> ddr error(s) detected and corrected', '<*> ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>']"
1,4,4,"Error receiving packet on tree network, expecting type 57 instead of type 3 <*> <*> 00000002 00000000) <*> PSR1=00000000 PRXF=00000002 PIXF=00000007","The input log template is classified as an anomaly. It does not match any of the known normal log templates structurally or semantically. Additionally, the content of the log includes an error message about receiving a packet on a tree network with unexpected type values, indicating a deviation from expected behavior.",[]
1,3,3,"critical input interrupt (unit=0x0b <*> warning for <*> <*> wire, suppressing further interrupts of same type","The input log template is abnormal. Although the structure is similar to the known normal log templates, the missing values in the input log template make it different. Additionally, the specific content 'torus' is missing in the input log template, which is present in the known normal log templates.","['critical input interrupt (unit=0x0b <*> warning for torus <*> wire', 'critical input interrupt enable...0']"
1,2,2,<*> torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected over <*> seconds,"The input log template does not match any of the known normal log templates. It contains specific terms like 'torus sender', 'retransmission error(s)', and 'dcr 0x02f9' which are not present in the normal templates. Therefore, it is classified as an anomaly.",['<*> torus receiver <*> input pipe error(s) (dcr <*> detected and corrected']
